area_id,gp_patients,gp_patients_diabetes,estimated_diabetes_prevalence
E05000222,17990,828,4.6
E05000223,11897,710,6.1
E05000224,11916,696,6.1
E05000225,16109,711,4.4
E05000226,14958,1213,8.4
E05000227,10634,736,7.6
E05000228,15141,1067,7.1
E05000229,14142,1039,7.4
E05000230,16338,1054,6.5
E05000250,12109,524,4.3
E05000251,13563,679,5
E05000252,12941,470,3.6
E05000253,9591,506,5.3
E05000254,11480,502,4.4
E05000255,11982,478,4
E05000256,11554,508,4.4
E05000257,11288,438,3.9
E05000258,12491,510,4.1
E05000259,6891,255,3.7
E05000260,9586,329,3.4
E05000261,9719,427,4.4
E05000262,12573,489,3.9
E05000263,12710,697,5.5
E05000264,10780,370,3.4
E05000265,14070,848,6
E05000266,10115,461,4.6
E05000267,12880,791,6.1
E05000268,14378,1074,8
E05000269,11516,423,3.7
E05000270,11792,443,3.8
E05000271,13363,745,5.6
E05000272,9585,316,3.3
E05000273,11572,501,4.4
E05000274,9623,369,3.8
E05000275,13340,903,6.8
E05000276,14478,1246,8.7
E05000277,14517,932,6.5
E05000278,15051,969,6.6
E05000279,10954,489,4.5
E05000280,15219,792,7.4
E05000281,16179,1061,8.3
E05000282,13060,904,7
E05000283,12122,986,8.2
E05000284,13702,989,7.2
E05000285,9854,936,9.5
E05000286,12081,988,8.2
E05000287,12041,1050,8.7
E05000288,12348,1065,8.6
E05000289,10711,992,9.3
E05000290,10062,983,9.8
E05000291,9379,802,8.5
E05000292,8784,832,9.5
E05000293,10108,946,9.4
E05000294,10600,1129,10.7
E05000295,10586,1037,9.8
E05000296,11402,1118,9.8
E05000297,9263,701,7.6
E05000298,9157,693,7.6
E05000299,11344,1123,9.9
E05000300,10241,1056,10.3
E05000301,12482,1293,10.4
E05000302,10771,1075,10
E05000303,9838,871,8.9
E05000304,11066,1096,9.9
E05000305,9417,840,8.9
E05000306,13712,948,6.9
E05000307,10929,650,6
E05000308,11424,839,7.3
E05000309,10499,627,6
E05000310,13150,829,6.3
E05000311,10355,743,7.2
E05000312,11543,640,5.5
E05000313,11012,762,6.9
E05000314,11352,766,6.7
E05000315,11242,767,6.8
E05000316,10757,734,6.8
E05000317,10928,703,6.4
E05000318,10870,730,6.7
E05000319,14515,867,6
E05000320,11557,774,6.7
E05000321,11571,890,7.7
E05000322,11411,646,5.7
E05000323,11547,691,6
E05000324,12709,1284,10.1
E05000325,15486,1384,8.9
E05000326,13545,740,5.5
E05000327,9962,647,6.5
E05000328,10944,980,9
E05000329,11209,774,6.9
E05000330,6600,454,6.9
E05000331,11619,927,8
E05000332,11459,848,7.4
E05000333,8735,601,6.9
E05000334,9845,612,6.2
E05000335,9865,734,7.4
E05000336,10742,787,7.3
E05000337,14066,1258,8.9
E05000338,9963,667,6.7
E05000339,14308,1364,9.5
E05000340,11531,800,6.9
E05000341,13285,717,5.4
E05000342,14182,1059,7.5
E05000343,9779,633,6.5
E05000344,12599,1224,9.7
E05000345,11758,863,7.3
E05000346,11600,961,8.3
E05000347,13985,774,5.5
E05000348,10299,429,4.2
E05000349,10531,408,3.9
E05000350,13564,1374,10.1
E05000351,10633,838,7.9
E05000352,13284,1001,7.5
E05000353,10684,759,7.1
E05000354,10167,772,7.6
E05000355,12716,1273,10
E05000356,12168,1217,10
E05000357,12530,1313,10.5
E05000358,17741,1546,8.7
E05000359,14963,1363,9.1
E05000360,10266,767,7.5
E05000361,15586,1495,9.6
E05000362,10654,623,5.9
E05000363,12074,979,8.1
E05000364,12520,766,6.1
E05000365,10979,451,4.1
E05000366,12588,499,4
E05000367,15820,571,3.6
E05000368,13421,704,5.3
E05000369,11689,559,4.8
E05000370,13309,405,3.1
E05000371,15230,866,5.7
E05000372,11416,514,4.5
E05000373,15017,797,5.3
E05000374,11275,648,5.7
E05000375,16050,912,5.7
E05000376,11787,628,5.3
E05000377,12747,603,4.7
E05000378,11814,648,5.5
E05000379,12189,532,4.4
E05000380,12603,506,4
E05000381,12682,738,5.8
E05000400,8424,489,6.3
E05000401,8242,393,4.9
E05000402,9907,600,6.1
E05000403,12516,477,3.8
E05000404,7779,489,6.5
E05000405,8722,554,6.5
E05000406,10088,395,3.9
E05000407,8880,505,5.7
E05000408,11128,366,3.3
E05000409,9756,402,4.1
E05000410,8385,499,6
E05000411,8579,534,6.2
E05000412,10475,386,3.7
E05000413,9384,432,4.8
E05000414,9030,478,5.9
E05000415,8289,357,4.3
E05000416,12018,468,3.9
E05000417,15169,778,5.3
E05000418,12650,518,4.1
E05000419,14611,570,3.9
E05000420,16953,999,6.3
E05000421,17107,1007,5.9
E05000422,13154,727,5.5
E05000423,14929,862,6.1
E05000424,13343,824,6.2
E05000425,18706,1018,5.4
E05000426,16064,730,4.5
E05000427,15218,881,5.8
E05000428,14445,862,6
E05000429,16487,962,5.8
E05000430,14838,738,5
E05000431,13627,1040,7.6
E05000432,14903,801,5.4
